NR_158013	Natronoarchaeum
NR_158012	Polycladomyces
NR_158011	Arenivirga
NR_158010	Monaibacterium
NR_158009	Phreatobacter
NR_158008	Rhodobacter
NR_158007	Rhodobacter
NR_158006	Angustibacter
NR_158005	Mycobacterium
NR_158004	Silanimonas
NR_158003	Tenacibaculum
NR_158002	Brumimicrobium
NR_158001	Gracilimonas
NR_158000	Saonia
NR_157999	Dyella
NR_157998	Dyella
NR_157997	Dyella
NR_157996	Algoriphagus
NR_157995	Paenibacillus
NR_157994	Filimonas
NR_157993	Conexibacter
NR_157992	Butyratibacter
NR_157991	Polaribacter
NR_157990	Pigmentiphaga
NR_157989	Psychrobacter
NR_157988	Psychrobacter
NR_157987	Arsenicibacter
NR_157986	Pelagibacterium
NR_157985	Mycobacterium
NR_157984	Caulobacter
NR_157983	Desulfovibrio
NR_157982	Rickettsia
NR_157981	Novosphingobium
NR_157980	Kryptousia
NR_157979	Kryptousia
NR_157799	Novosphingobium
NR_157798	Spiribacter
NR_157797	Desulfosarcina
NR_157796	Desulfosarcina
NR_157795	Roseomonas
NR_157794	Sphingomonas
NR_157793	Erythrobacter
NR_157792	Henriciella
NR_157791	Umboniibacter
NR_157790	Alteromonas
NR_157789	Roseibium
NR_157788	Henriciella
NR_157787	Henriciella
NR_157786	Sphingomonas
NR_157785	Defluviimonas
NR_157784	Mesorhizobium
NR_157783	Altererythrobacter
NR_157782	Altererythrobacter
NR_157781	Massilia
NR_157780	Rhizobium
NR_157779	Sphingobium
NR_157778	Pseudomonas
NR_157777	Pseudomonas
NR_157776	Paraphaeobacter
NR_157775	Sphingomonas
NR_157774	Sphingomonas
NR_157773	Sphingomonas
NR_157772	Massilia
NR_157771	Massilia
NR_157770	Massilia
NR_157769	Blastomonas
NR_157768	Paracoccus
NR_157767	Aureimonas
NR_157766	Arenimonas
NR_157765	Stenotrophomonas
NR_157764	Blastomonas
NR_157763	Mongoliimonas
NR_157762	Serratia
NR_157761	Arcobacter
NR_157760	Marinobacter
NR_157759	Natronospira
NR_157758	Pseudoalteromonas
NR_157757	Sphingomonas
NR_157756	Marinomonas
NR_157755	Cellvibrio
NR_157754	Silvanigrella
NR_157753	Paracoccus
NR_157752	Notoacmeibacter
NR_157751	Massilia
NR_157750	Thermus
NR_157749	Meiothermus
NR_157748	Dictyobacter
NR_157747	Lactobacillus
NR_157746	Laceyella
NR_157745	Bacillus
NR_157744	Domibacillus
NR_157743	Domibacillus
NR_157742	Bacillus
NR_157741	Planococcus
NR_157740	Aneurinibacillus
NR_157739	Desulfocucumis
NR_157738	Chengkuizengella
NR_157737	Bacillus
NR_157736	Bacillus
NR_157735	Bacillus
NR_157734	Bacillus
NR_157733	Bacillus
NR_157732	Bacillus
NR_157731	Bacillus
NR_157730	Bacillus
NR_157729	Bacillus
NR_157728	Bacillus
NR_157727	Daejeonia
NR_157726	Adhaeribacter
NR_157725	Flaviaesturariibacter
NR_157724	Flavivirga
NR_157723	Flavivirga
NR_157722	Mucilaginibacter
NR_157721	Flavobacterium
NR_157720	Emticicia
NR_157719	Hymenobacter
NR_157718	Mesonia
NR_157717	Mucilaginibacter
NR_157716	Zunongwangia
NR_157715	Terrimonas
NR_157714	Flavobacterium
NR_157713	Aliifodinibius
NR_157712	Pedobacter
NR_157711	Lacihabitans
NR_157710	Pseudonocardia
NR_157709	Nocardioides
NR_157708	Nonomuraea
NR_157707	Nocardia
NR_157706	Nakamurella
NR_157705	Alloscardovia
NR_157704	Conyzicola
NR_157703	Pseudonocardia
NR_157702	Actinokineospora
NR_157701	Cumulibacter
NR_157700	[Mycobacterium]
NR_157699	Mycobacterium
NR_157698	Cryptosporangium
NR_157697	Micrococcoides
NR_157696	Nocardioides
NR_157695	Naumannella
NR_157694	Leucobacter
NR_157693	Winogradskyella
NR_157692	Vagococcus
NR_157691	Streptomyces
NR_157690	Streptomyces
NR_157689	Spirosoma
NR_157688	Spirosoma
NR_157687	Spirosoma
NR_157686	Sphingorhabdus
NR_157685	Salinivibrio
NR_157684
NR_157683	Roseomonas
NR_157682	Peptoniphilus
NR_157681	Parendozoicomonas
NR_157680	Pararhizobium
NR_157679	Mesorhizobium
NR_157678	Mesorhizobium
NR_157677	Larkinella
NR_157676	Kocuria
NR_157675	Kocuria
NR_157674	Ereboglobus
NR_157673	Deinococcus
